base,extra,test,majority,num_classes,majority_all
0.9,0.92,0.93,0.14,11,0.13959277462181655
0.88,0.9,0.9,0.15,11,0.13959277462181655
0.86,0.86,0.89,0.16,11,0.13959277462181655
0.89,0.92,0.95,0.18,11,0.13959277462181655
0.86,0.9,0.9,0.18,11,0.13959277462181655
0.87,0.84,0.88,0.16,11,0.13959277462181655
0.86,0.89,0.89,0.13,11,0.13959277462181655
0.93,0.88,0.86,0.24,11,0.13959277462181655
0.77,0.87,0.86,0.21,11,0.13959277462181655
0.88,0.92,0.93,0.15,11,0.13959277462181655
0.9,0.9,0.92,0.15,11,0.13959277462181655
0.9,0.92,0.93,0.19,11,0.13959277462181655
0.83,0.85,0.84,0.19,11,0.13959277462181655
0.87,0.94,0.93,0.16,11,0.13959277462181655
0.9,0.91,0.86,0.2,11,0.13959277462181655
0.86,0.9,0.89,0.13,11,0.13959277462181655
0.86,0.89,0.9,0.19,11,0.13959277462181655
0.84,0.9,0.92,0.15,11,0.13959277462181655
0.85,0.87,0.88,0.14,11,0.13959277462181655
0.86,0.89,0.92,0.15,11,0.13959277462181655
