base,extra,test,majority,num_classes,majority_all
0.82,0.9,0.95,0.51,2,0.5
0.8,0.93,0.87,0.5,2,0.5
0.74,0.91,0.92,0.56,2,0.5
0.8,0.77,0.88,0.52,2,0.5
0.88,0.78,0.92,0.63,2,0.5
0.79,0.87,0.85,0.52,2,0.5
0.85,0.89,0.66,0.51,2,0.5
0.77,0.82,0.87,0.52,2,0.5
0.84,0.91,0.92,0.51,2,0.5
0.81,0.88,0.82,0.52,2,0.5
0.76,0.87,0.92,0.53,2,0.5
0.75,0.87,0.78,0.55,2,0.5
0.79,0.91,0.92,0.56,2,0.5
0.86,0.87,0.92,0.6,2,0.5
0.78,0.85,0.92,0.55,2,0.5
0.68,0.88,0.87,0.53,2,0.5
0.77,0.85,0.9,0.54,2,0.5
0.72,0.58,0.87,0.58,2,0.5
0.76,0.92,0.88,0.56,2,0.5
0.87,0.91,0.88,0.53,2,0.5
