base,extra,test,majority,num_classes,majority_all
0.11,0.37,0.29,0.51,4,0.4574165423884364
0.12,0.36,0.19,0.47,4,0.4574165423884364
0.12,0.49,0.41,0.44,4,0.4574165423884364
0.14,0.43,0.24,0.45,4,0.4574165423884364
0.11,0.5,0.49,0.37,4,0.4574165423884364
0.12,0.42,0.46,0.33,4,0.4574165423884364
0.13,0.22,0.4,0.45,4,0.4574165423884364
0.07,0.29,0.23,0.57,4,0.4574165423884364
0.11,0.4,0.38,0.47,4,0.4574165423884364
0.07,0.36,0.11,0.51,4,0.4574165423884364
0.13,0.37,0.35,0.46,4,0.4574165423884364
0.1,0.45,0.39,0.46,4,0.4574165423884364
0.12,0.47,0.51,0.44,4,0.4574165423884364
0.17,0.47,0.37,0.39,4,0.4574165423884364
0.14,0.43,0.46,0.38,4,0.4574165423884364
0.11,0.34,0.38,0.44,4,0.4574165423884364
0.15,0.37,0.26,0.46,4,0.4574165423884364
0.09,0.43,0.52,0.42,4,0.4574165423884364
0.07,0.41,0.41,0.44,4,0.4574165423884364
0.13,0.44,0.4,0.38,4,0.4574165423884364
