base,extra,test,majority,num_classes,majority_all
0.17,0.3,0.33,0.27,6,0.2292736610418195
0.1,0.17,0.17,0.25,6,0.2292736610418195
0.02,0.14,0.15,0.25,6,0.2292736610418195
0.1,0.27,0.25,0.22,6,0.2292736610418195
0.08,0.17,0.26,0.26,6,0.2292736610418195
0.08,0.13,0.21,0.29,6,0.2292736610418195
0.03,0.16,0.11,0.31,6,0.2292736610418195
0.07,0.25,0.18,0.26,6,0.2292736610418195
0.04,0.22,0.17,0.28,6,0.2292736610418195
0.09,0.2,0.06,0.29,6,0.2292736610418195
0.1,0.25,0.21,0.27,6,0.2292736610418195
0.06,0.27,0.29,0.32,6,0.2292736610418195
0.05,0.19,0.14,0.24,6,0.2292736610418195
0.12,0.09,0.3,0.27,6,0.2292736610418195
0.08,0.19,0.33,0.24,6,0.2292736610418195
0.07,0.27,0.26,0.28,6,0.2292736610418195
0.08,0.3,0.23,0.27,6,0.2292736610418195
0.17,0.2,0.23,0.27,6,0.2292736610418195
0.08,0.13,0.25,0.28,6,0.2292736610418195
0.11,0.14,0.2,0.27,6,0.2292736610418195
