base,extra,test,majority,num_classes,majority_all
0.26,0.22,0.26,0.16,10,0.1
0.4,0.28,0.44,0.16,10,0.1
0.28,0.35,0.33,0.14,10,0.1
0.31,0.32,0.32,0.13,10,0.1
0.27,0.25,0.18,0.17,10,0.1
0.26,0.28,0.26,0.13,10,0.1
0.27,0.25,0.24,0.14,10,0.1
0.28,0.27,0.24,0.17,10,0.1
0.32,0.32,0.2,0.21,10,0.1
0.3,0.34,0.27,0.17,10,0.1
0.26,0.24,0.43,0.15,10,0.1
0.25,0.36,0.31,0.17,10,0.1
0.26,0.28,0.25,0.15,10,0.1
0.4,0.56,0.29,0.15,10,0.1
0.26,0.36,0.4,0.14,10,0.1
0.26,0.17,0.22,0.15,10,0.1
0.27,0.25,0.19,0.15,10,0.1
0.3,0.24,0.37,0.13,10,0.1
0.28,0.34,0.31,0.14,10,0.1
0.28,0.26,0.25,0.14,10,0.1
