base,extra,test,majority,num_classes,majority_all
0.6,0.51,0.5,0.23,5,0.2
0.56,0.62,0.55,0.25,5,0.2
0.61,0.62,0.59,0.24,5,0.2
0.54,0.53,0.57,0.27,5,0.2
0.5,0.52,0.49,0.25,5,0.2
0.61,0.57,0.55,0.26,5,0.2
0.6,0.53,0.59,0.29,5,0.2
0.55,0.6,0.51,0.25,5,0.2
0.51,0.59,0.6,0.26,5,0.2
0.68,0.66,0.64,0.27,5,0.2
0.57,0.59,0.54,0.28,5,0.2
0.67,0.5,0.6,0.29,5,0.2
0.56,0.57,0.63,0.29,5,0.2
0.49,0.59,0.6,0.29,5,0.2
0.5,0.62,0.6,0.26,5,0.2
0.7,0.64,0.64,0.28,5,0.2
0.55,0.6,0.59,0.22,5,0.2
0.51,0.61,0.56,0.24,5,0.2
0.55,0.55,0.58,0.22,5,0.2
0.56,0.57,0.65,0.23,5,0.2
