base,extra,test,majority,num_classes,majority_all
0.72,0.54,0.52,0.5,2,0.5186701999518188
0.77,0.5,0.56,0.52,2,0.5186701999518188
0.79,0.45,0.45,0.55,2,0.5186701999518188
0.64,0.52,0.52,0.52,2,0.5186701999518188
0.79,0.41,0.46,0.6,2,0.5186701999518188
0.72,0.48,0.45,0.57,2,0.5186701999518188
0.65,0.5,0.52,0.5,2,0.5186701999518188
0.69,0.52,0.47,0.53,2,0.5186701999518188
0.72,0.73,0.49,0.51,2,0.5186701999518188
0.7,0.5,0.51,0.51,2,0.5186701999518188
0.7,0.55,0.54,0.53,2,0.5186701999518188
0.65,0.42,0.43,0.58,2,0.5186701999518188
0.7,0.59,0.61,0.52,2,0.5186701999518188
0.66,0.57,0.56,0.56,2,0.5186701999518188
0.68,0.68,0.52,0.52,2,0.5186701999518188
0.75,0.54,0.53,0.52,2,0.5186701999518188
0.76,0.49,0.49,0.51,2,0.5186701999518188
0.79,0.5,0.5,0.51,2,0.5186701999518188
0.77,0.48,0.5,0.55,2,0.5186701999518188
0.72,0.55,0.55,0.55,2,0.5186701999518188
