base,extra,test,majority,num_classes,majority_all
0.72,0.63,0.7,0.62,5,0.6053286584624998
0.61,0.66,0.68,0.56,5,0.6053286584624998
0.6,0.65,0.62,0.57,5,0.6053286584624998
0.59,0.53,0.65,0.55,5,0.6053286584624998
0.67,0.69,0.74,0.67,5,0.6053286584624998
0.55,0.6,0.63,0.6,5,0.6053286584624998
0.66,0.55,0.69,0.6,5,0.6053286584624998
0.68,0.6,0.67,0.63,5,0.6053286584624998
0.68,0.55,0.71,0.62,5,0.6053286584624998
0.68,0.67,0.71,0.61,5,0.6053286584624998
0.63,0.69,0.7,0.64,5,0.6053286584624998
0.58,0.62,0.61,0.61,5,0.6053286584624998
0.65,0.57,0.68,0.58,5,0.6053286584624998
0.64,0.58,0.66,0.6,5,0.6053286584624998
0.7,0.7,0.6,0.68,5,0.6053286584624998
0.69,0.71,0.52,0.7,5,0.6053286584624998
0.63,0.69,0.67,0.6,5,0.6053286584624998
0.51,0.51,0.49,0.53,5,0.6053286584624998
0.58,0.62,0.67,0.6,5,0.6053286584624998
0.64,0.61,0.63,0.65,5,0.6053286584624998
