base,extra,test,majority,num_classes,majority_all
0.4,0.63,0.66,0.64,2,0.5228141513929105
0.53,0.61,0.61,0.55,2,0.5228141513929105
0.5,0.66,0.55,0.51,2,0.5228141513929105
0.52,0.65,0.62,0.51,2,0.5228141513929105
0.51,0.59,0.6,0.51,2,0.5228141513929105
0.6,0.52,0.65,0.58,2,0.5228141513929105
0.54,0.57,0.52,0.5,2,0.5228141513929105
0.55,0.55,0.52,0.5,2,0.5228141513929105
0.46,0.58,0.69,0.6,2,0.5228141513929105
0.55,0.64,0.62,0.52,2,0.5228141513929105
0.48,0.64,0.53,0.5,2,0.5228141513929105
0.51,0.49,0.64,0.57,2,0.5228141513929105
0.55,0.59,0.61,0.5,2,0.5228141513929105
0.62,0.56,0.58,0.59,2,0.5228141513929105
0.57,0.56,0.69,0.53,2,0.5228141513929105
0.45,0.62,0.55,0.56,2,0.5228141513929105
0.52,0.62,0.7,0.54,2,0.5228141513929105
0.46,0.59,0.68,0.56,2,0.5228141513929105
0.47,0.64,0.59,0.51,2,0.5228141513929105
0.53,0.67,0.57,0.5,2,0.5228141513929105
