base,extra,test,majority,num_classes,majority_all
0.71,0.86,0.6,0.28,6,0.2484942685059258
0.58,0.67,0.28,0.28,6,0.2484942685059258
0.7,0.81,0.81,0.29,6,0.2484942685059258
0.73,0.89,0.5,0.24,6,0.2484942685059258
0.65,0.83,0.72,0.3,6,0.2484942685059258
0.7,0.81,0.86,0.27,6,0.2484942685059258
0.72,0.74,0.88,0.27,6,0.2484942685059258
0.8,0.89,0.89,0.27,6,0.2484942685059258
0.75,0.82,0.86,0.24,6,0.2484942685059258
0.78,0.22,0.82,0.26,6,0.2484942685059258
0.73,0.87,0.69,0.24,6,0.2484942685059258
0.75,0.85,0.9,0.27,6,0.2484942685059258
0.75,0.82,0.81,0.23,6,0.2484942685059258
0.74,0.87,0.8,0.25,6,0.2484942685059258
0.7,0.52,0.84,0.26,6,0.2484942685059258
0.77,0.88,0.86,0.22,6,0.2484942685059258
0.67,0.74,0.83,0.21,6,0.2484942685059258
0.78,0.89,0.79,0.26,6,0.2484942685059258
0.76,0.83,0.87,0.21,6,0.2484942685059258
0.77,0.88,0.52,0.31,6,0.2484942685059258
