base,extra,test,majority,num_classes,majority_all
0.39,0.39,0.41,0.3,6,0.335125
0.42,0.29,0.44,0.34,6,0.335125
0.31,0.35,0.41,0.35,6,0.335125
0.41,0.45,0.45,0.29,6,0.335125
0.32,0.41,0.28,0.35,6,0.335125
0.36,0.45,0.32,0.32,6,0.335125
0.38,0.29,0.34,0.4,6,0.335125
0.4,0.37,0.35,0.28,6,0.335125
0.37,0.35,0.49,0.34,6,0.335125
0.43,0.41,0.3,0.35,6,0.335125
0.4,0.49,0.35,0.32,6,0.335125
0.36,0.31,0.35,0.41,6,0.335125
0.38,0.35,0.43,0.29,6,0.335125
0.36,0.35,0.41,0.31,6,0.335125
0.44,0.37,0.39,0.33,6,0.335125
0.26,0.32,0.28,0.34,6,0.335125
0.38,0.46,0.27,0.39,6,0.335125
0.4,0.47,0.52,0.38,6,0.335125
0.44,0.48,0.48,0.37,6,0.335125
0.38,0.37,0.36,0.36,6,0.335125
