base,extra,test,majority,num_classes,majority_all
0.59,0.75,0.8,0.57,3,0.6143992932862191
0.54,0.69,0.69,0.68,3,0.6143992932862191
0.64,0.45,0.84,0.52,3,0.6143992932862191
0.63,0.55,0.45,0.54,3,0.6143992932862191
0.49,0.5,0.44,0.56,3,0.6143992932862191
0.49,0.67,0.78,0.67,3,0.6143992932862191
0.54,0.76,0.62,0.62,3,0.6143992932862191
0.65,0.67,0.53,0.56,3,0.6143992932862191
0.61,0.72,0.77,0.55,3,0.6143992932862191
0.55,0.77,0.63,0.63,3,0.6143992932862191
0.58,0.57,0.6,0.57,3,0.6143992932862191
0.48,0.64,0.48,0.64,3,0.6143992932862191
0.41,0.86,0.12,0.76,3,0.6143992932862191
0.6,0.23,0.69,0.6,3,0.6143992932862191
0.53,0.44,0.61,0.61,3,0.6143992932862191
0.54,0.37,0.67,0.6,3,0.6143992932862191
0.58,0.31,0.69,0.64,3,0.6143992932862191
0.55,0.68,0.72,0.63,3,0.6143992932862191
0.54,0.73,0.73,0.66,3,0.6143992932862191
0.5,0.72,0.7,0.6,3,0.6143992932862191
