base,extra,test,majority,num_classes,majority_all
0.48,0.51,0.47,0.57,2,0.6222674986204847
0.55,0.47,0.55,0.53,2,0.6222674986204847
0.43,0.33,0.37,0.67,2,0.6222674986204847
0.49,0.44,0.4,0.6,2,0.6222674986204847
0.45,0.68,0.39,0.61,2,0.6222674986204847
0.43,0.36,0.44,0.64,2,0.6222674986204847
0.51,0.42,0.41,0.61,2,0.6222674986204847
0.47,0.46,0.39,0.61,2,0.6222674986204847
0.52,0.62,0.44,0.6,2,0.6222674986204847
0.51,0.48,0.34,0.67,2,0.6222674986204847
0.54,0.53,0.52,0.58,2,0.6222674986204847
0.49,0.34,0.53,0.66,2,0.6222674986204847
0.49,0.38,0.38,0.62,2,0.6222674986204847
0.5,0.54,0.38,0.62,2,0.6222674986204847
0.51,0.36,0.46,0.64,2,0.6222674986204847
0.55,0.51,0.39,0.61,2,0.6222674986204847
0.46,0.39,0.39,0.64,2,0.6222674986204847
0.54,0.68,0.44,0.58,2,0.6222674986204847
0.51,0.56,0.41,0.65,2,0.6222674986204847
0.51,0.33,0.5,0.67,2,0.6222674986204847
