base,extra,test,majority,num_classes,majority_all
0.61,0.6,0.59,0.59,2,0.5
0.47,0.46,0.46,0.54,2,0.5
0.55,0.56,0.56,0.56,2,0.5
0.51,0.51,0.51,0.51,2,0.5
0.53,0.52,0.52,0.52,2,0.5
0.5,0.49,0.51,0.51,2,0.5
0.48,0.47,0.47,0.53,2,0.5
0.5,0.47,0.47,0.53,2,0.5
0.48,0.48,0.49,0.51,2,0.5
0.51,0.49,0.49,0.51,2,0.5
0.58,0.57,0.57,0.57,2,0.5
0.5,0.48,0.5,0.53,2,0.5
0.5,0.49,0.49,0.51,2,0.5
0.65,0.63,0.62,0.62,2,0.5
0.41,0.42,0.41,0.59,2,0.5
0.51,0.5,0.52,0.51,2,0.5
0.54,0.52,0.52,0.52,2,0.5
0.5,0.48,0.48,0.52,2,0.5
0.51,0.49,0.49,0.51,2,0.5
0.53,0.51,0.51,0.51,2,0.5
