base,extra,test,majority,num_classes,majority_all
0.9,0.94,0.91,0.14,11,0.13959277462181655
0.88,0.75,0.9,0.15,11,0.13959277462181655
0.86,0.81,0.83,0.16,11,0.13959277462181655
0.89,0.87,0.84,0.18,11,0.13959277462181655
0.86,0.92,0.92,0.18,11,0.13959277462181655
0.87,0.79,0.65,0.16,11,0.13959277462181655
0.86,0.92,0.86,0.13,11,0.13959277462181655
0.92,0.88,0.86,0.24,11,0.13959277462181655
0.77,0.86,0.87,0.21,11,0.13959277462181655
0.88,0.77,0.91,0.15,11,0.13959277462181655
0.9,0.86,0.8,0.15,11,0.13959277462181655
0.9,0.39,0.95,0.19,11,0.13959277462181655
0.83,0.59,0.84,0.19,11,0.13959277462181655
0.87,0.72,0.95,0.16,11,0.13959277462181655
0.9,0.93,0.9,0.2,11,0.13959277462181655
0.86,0.83,0.87,0.13,11,0.13959277462181655
0.86,0.83,0.89,0.19,11,0.13959277462181655
0.84,0.82,0.85,0.15,11,0.13959277462181655
0.85,0.82,0.88,0.14,11,0.13959277462181655
0.86,0.89,0.93,0.15,11,0.13959277462181655
