base,extra,test,majority,num_classes,majority_all
0.81,0.85,0.87,0.51,2,0.5
0.8,0.91,0.56,0.5,2,0.5
0.74,0.79,0.9,0.56,2,0.5
0.78,0.88,0.93,0.52,2,0.5
0.88,0.7,0.92,0.63,2,0.5
0.79,0.87,0.89,0.52,2,0.5
0.86,0.89,0.86,0.51,2,0.5
0.76,0.88,0.83,0.52,2,0.5
0.85,0.8,0.94,0.51,2,0.5
0.81,0.92,0.94,0.52,2,0.5
0.76,0.93,0.89,0.53,2,0.5
0.75,0.88,0.65,0.55,2,0.5
0.8,0.93,0.93,0.56,2,0.5
0.84,0.88,0.79,0.6,2,0.5
0.79,0.92,0.89,0.55,2,0.5
0.67,0.84,0.87,0.53,2,0.5
0.78,0.9,0.77,0.54,2,0.5
0.72,0.77,0.7,0.58,2,0.5
0.76,0.92,0.87,0.56,2,0.5
0.86,0.88,0.94,0.53,2,0.5
