base,extra,test,majority,num_classes,majority_all
0.11,0.1,0.25,0.51,4,0.4574165423884364
0.12,0.12,0.12,0.47,4,0.4574165423884364
0.12,0.18,0.12,0.44,4,0.4574165423884364
0.14,0.11,0.13,0.45,4,0.4574165423884364
0.11,0.14,0.12,0.37,4,0.4574165423884364
0.12,0.24,0.17,0.33,4,0.4574165423884364
0.13,0.14,0.13,0.45,4,0.4574165423884364
0.07,0.1,0.16,0.57,4,0.4574165423884364
0.12,0.11,0.12,0.47,4,0.4574165423884364
0.07,0.15,0.12,0.51,4,0.4574165423884364
0.13,0.14,0.13,0.46,4,0.4574165423884364
0.1,0.09,0.13,0.46,4,0.4574165423884364
0.12,0.07,0.09,0.44,4,0.4574165423884364
0.17,0.25,0.14,0.39,4,0.4574165423884364
0.14,0.17,0.11,0.38,4,0.4574165423884364
0.11,0.14,0.17,0.44,4,0.4574165423884364
0.15,0.16,0.24,0.46,4,0.4574165423884364
0.09,0.09,0.1,0.42,4,0.4574165423884364
0.07,0.14,0.1,0.44,4,0.4574165423884364
0.13,0.16,0.13,0.38,4,0.4574165423884364
