base,extra,test,majority,num_classes,majority_all
0.16,0.05,0.08,0.27,6,0.2292736610418195
0.1,0.09,0.03,0.25,6,0.2292736610418195
0.02,0.0,0.1,0.25,6,0.2292736610418195
0.11,0.0,0.0,0.22,6,0.2292736610418195
0.09,0.17,0.14,0.26,6,0.2292736610418195
0.08,0.41,0.04,0.29,6,0.2292736610418195
0.05,0.03,0.01,0.31,6,0.2292736610418195
0.07,0.04,0.03,0.26,6,0.2292736610418195
0.05,0.05,0.1,0.28,6,0.2292736610418195
0.11,0.2,0.2,0.29,6,0.2292736610418195
0.1,0.21,0.04,0.27,6,0.2292736610418195
0.06,0.18,0.2,0.32,6,0.2292736610418195
0.03,0.0,0.09,0.24,6,0.2292736610418195
0.12,0.01,0.07,0.27,6,0.2292736610418195
0.09,0.11,0.17,0.24,6,0.2292736610418195
0.07,0.14,0.22,0.28,6,0.2292736610418195
0.09,0.17,0.15,0.27,6,0.2292736610418195
0.14,0.12,0.15,0.27,6,0.2292736610418195
0.08,0.01,0.03,0.28,6,0.2292736610418195
0.12,0.01,0.01,0.27,6,0.2292736610418195
