base,extra,test,majority,num_classes,majority_all
0.59,0.54,0.57,0.23,5,0.2
0.56,0.58,0.56,0.25,5,0.2
0.63,0.51,0.54,0.24,5,0.2
0.54,0.42,0.49,0.27,5,0.2
0.49,0.44,0.45,0.25,5,0.2
0.61,0.54,0.59,0.26,5,0.2
0.61,0.62,0.49,0.29,5,0.2
0.55,0.44,0.47,0.25,5,0.2
0.52,0.48,0.43,0.26,5,0.2
0.67,0.67,0.66,0.27,5,0.2
0.59,0.59,0.38,0.28,5,0.2
0.68,0.57,0.48,0.29,5,0.2
0.59,0.59,0.51,0.29,5,0.2
0.5,0.54,0.54,0.29,5,0.2
0.52,0.54,0.53,0.26,5,0.2
0.7,0.54,0.49,0.28,5,0.2
0.57,0.55,0.46,0.22,5,0.2
0.51,0.49,0.52,0.24,5,0.2
0.55,0.57,0.46,0.22,5,0.2
0.58,0.49,0.41,0.23,5,0.2
