base,extra,test,majority,num_classes,majority_all
0.54,0.81,0.81,0.3,4,0.25
0.59,0.84,0.83,0.39,4,0.25
0.51,0.84,0.82,0.35,4,0.25
0.54,0.77,0.74,0.26,4,0.25
0.56,0.73,0.78,0.3,4,0.25
0.52,0.68,0.87,0.36,4,0.25
0.54,0.87,0.8,0.31,4,0.25
0.58,0.82,0.85,0.29,4,0.25
0.47,0.76,0.58,0.27,4,0.25
0.5,0.84,0.79,0.28,4,0.25
0.51,0.72,0.78,0.32,4,0.25
0.57,0.84,0.87,0.29,4,0.25
0.53,0.83,0.86,0.35,4,0.25
0.59,0.8,0.78,0.32,4,0.25
0.56,0.84,0.83,0.33,4,0.25
0.47,0.74,0.65,0.26,4,0.25
0.55,0.76,0.89,0.29,4,0.25
0.46,0.75,0.84,0.29,4,0.25
0.5,0.67,0.73,0.37,4,0.25
0.47,0.85,0.84,0.39,4,0.25
