base,extra,test,majority,num_classes,majority_all
0.3,0.89,0.89,0.89,2,0.8946
0.18,0.92,0.9,0.92,2,0.8946
0.29,0.84,0.84,0.84,2,0.8946
0.24,0.85,0.91,0.91,2,0.8946
0.2,0.88,0.88,0.88,2,0.8946
0.27,0.9,0.45,0.9,2,0.8946
0.28,0.88,0.88,0.89,2,0.8946
0.27,0.84,0.84,0.84,2,0.8946
0.24,0.88,0.88,0.88,2,0.8946
0.22,0.91,0.87,0.91,2,0.8946
0.21,0.89,0.89,0.89,2,0.8946
0.28,0.81,0.89,0.89,2,0.8946
0.22,0.17,0.14,0.9,2,0.8946
0.2,0.93,0.93,0.93,2,0.8946
0.26,0.74,0.84,0.9,2,0.8946
0.26,0.86,0.25,0.86,2,0.8946
0.21,0.88,0.84,0.88,2,0.8946
0.26,0.84,0.88,0.88,2,0.8946
0.18,0.92,0.84,0.94,2,0.8946
0.27,0.27,0.86,0.88,2,0.8946
