base,extra,test,majority,num_classes,majority_all
0.66,0.68,0.76,0.68,2,0.6288525638098716
0.64,0.69,0.56,0.6,2,0.6288525638098716
0.78,0.4,0.73,0.73,2,0.6288525638098716
0.61,0.59,0.59,0.59,2,0.6288525638098716
0.64,0.61,0.63,0.61,2,0.6288525638098716
0.65,0.63,0.63,0.63,2,0.6288525638098716
0.67,0.61,0.66,0.64,2,0.6288525638098716
0.66,0.66,0.37,0.65,2,0.6288525638098716
0.62,0.59,0.62,0.59,2,0.6288525638098716
0.66,0.58,0.66,0.58,2,0.6288525638098716
0.65,0.66,0.52,0.63,2,0.6288525638098716
0.65,0.53,0.61,0.61,2,0.6288525638098716
0.61,0.6,0.59,0.59,2,0.6288525638098716
0.6,0.69,0.69,0.56,2,0.6288525638098716
0.7,0.64,0.63,0.67,2,0.6288525638098716
0.68,0.65,0.35,0.65,2,0.6288525638098716
0.66,0.65,0.61,0.67,2,0.6288525638098716
0.61,0.63,0.33,0.62,2,0.6288525638098716
0.63,0.65,0.61,0.61,2,0.6288525638098716
0.71,0.7,0.69,0.69,2,0.6288525638098716
