base,extra,test,majority,num_classes,majority_all
0.55,0.72,0.66,0.4,4,0.4956233421750663
0.61,0.7,0.59,0.46,4,0.4956233421750663
0.62,0.66,0.57,0.4,4,0.4956233421750663
0.47,0.73,0.65,0.57,4,0.4956233421750663
0.52,0.56,0.42,0.45,4,0.4956233421750663
0.57,0.72,0.31,0.48,4,0.4956233421750663
0.48,0.34,0.55,0.55,4,0.4956233421750663
0.56,0.56,0.7,0.5,4,0.4956233421750663
0.63,0.37,0.49,0.45,4,0.4956233421750663
0.56,0.74,0.33,0.5,4,0.4956233421750663
0.6,0.71,0.72,0.46,4,0.4956233421750663
0.58,0.57,0.57,0.46,4,0.4956233421750663
0.53,0.55,0.75,0.49,4,0.4956233421750663
0.57,0.64,0.53,0.48,4,0.4956233421750663
0.6,0.73,0.71,0.47,4,0.4956233421750663
0.65,0.38,0.64,0.53,4,0.4956233421750663
0.54,0.59,0.45,0.53,4,0.4956233421750663
0.54,0.4,0.64,0.51,4,0.4956233421750663
0.58,0.53,0.62,0.42,4,0.4956233421750663
0.6,0.5,0.61,0.43,4,0.4956233421750663
