base,extra,test,majority,num_classes,majority_all
0.45,0.46,0.52,0.55,2,0.5088267803568609
0.57,0.74,0.58,0.57,2,0.5088267803568609
0.51,0.55,0.62,0.5,2,0.5088267803568609
0.51,0.54,0.52,0.52,2,0.5088267803568609
0.52,0.52,0.63,0.51,2,0.5088267803568609
0.45,0.47,0.45,0.55,2,0.5088267803568609
0.41,0.42,0.51,0.59,2,0.5088267803568609
0.61,0.63,0.64,0.61,2,0.5088267803568609
0.49,0.72,0.51,0.51,2,0.5088267803568609
0.59,0.59,0.77,0.58,2,0.5088267803568609
0.55,0.6,0.56,0.55,2,0.5088267803568609
0.52,0.77,0.52,0.52,2,0.5088267803568609
0.49,0.56,0.78,0.51,2,0.5088267803568609
0.62,0.69,0.62,0.61,2,0.5088267803568609
0.58,0.64,0.59,0.57,2,0.5088267803568609
0.43,0.44,0.62,0.58,2,0.5088267803568609
0.43,0.59,0.46,0.56,2,0.5088267803568609
0.56,0.56,0.57,0.56,2,0.5088267803568609
0.51,0.53,0.69,0.51,2,0.5088267803568609
0.48,0.48,0.51,0.52,2,0.5088267803568609
