base,extra,test,majority,num_classes,majority_all
0.49,0.51,0.5,0.5,2,0.5005431839605298
0.44,0.41,0.43,0.59,2,0.5005431839605298
0.57,0.59,0.59,0.59,2,0.5005431839605298
0.48,0.52,0.56,0.51,2,0.5005431839605298
0.52,0.54,0.57,0.52,2,0.5005431839605298
0.54,0.51,0.58,0.57,2,0.5005431839605298
0.53,0.5,0.55,0.55,2,0.5005431839605298
0.58,0.55,0.59,0.56,2,0.5005431839605298
0.51,0.48,0.48,0.52,2,0.5005431839605298
0.52,0.52,0.57,0.52,2,0.5005431839605298
0.41,0.61,0.59,0.61,2,0.5005431839605298
0.56,0.54,0.54,0.54,2,0.5005431839605298
0.47,0.49,0.54,0.51,2,0.5005431839605298
0.52,0.54,0.45,0.53,2,0.5005431839605298
0.57,0.6,0.58,0.56,2,0.5005431839605298
0.61,0.5,0.56,0.56,2,0.5005431839605298
0.54,0.49,0.59,0.51,2,0.5005431839605298
0.58,0.52,0.43,0.57,2,0.5005431839605298
0.47,0.46,0.48,0.55,2,0.5005431839605298
0.49,0.46,0.51,0.51,2,0.5005431839605298
