base,extra,test,majority,num_classes,majority_all
0.26,0.21,0.1,0.16,10,0.1
0.39,0.53,0.22,0.16,10,0.1
0.28,0.21,0.24,0.14,10,0.1
0.3,0.49,0.3,0.13,10,0.1
0.27,0.13,0.19,0.17,10,0.1
0.24,0.28,0.27,0.13,10,0.1
0.28,0.19,0.3,0.14,10,0.1
0.28,0.19,0.37,0.17,10,0.1
0.33,0.53,0.2,0.21,10,0.1
0.3,0.38,0.29,0.17,10,0.1
0.26,0.12,0.31,0.15,10,0.1
0.25,0.18,0.22,0.17,10,0.1
0.26,0.16,0.17,0.15,10,0.1
0.4,0.17,0.31,0.15,10,0.1
0.27,0.21,0.26,0.14,10,0.1
0.26,0.1,0.23,0.15,10,0.1
0.28,0.2,0.14,0.15,10,0.1
0.3,0.25,0.23,0.13,10,0.1
0.28,0.14,0.25,0.14,10,0.1
0.28,0.21,0.24,0.14,10,0.1
