base,extra,test,majority,num_classes,majority_all
0.56,0.844,0.824,0.27,4,0.25
0.53,0.628,0.846,0.266,4,0.25
0.532,0.852,0.804,0.262,4,0.25
0.522,0.85,0.832,0.264,4,0.25
0.524,0.842,0.834,0.26,4,0.25
0.546,0.868,0.666,0.302,4,0.25
0.542,0.758,0.868,0.258,4,0.25
0.538,0.844,0.75,0.258,4,0.25
0.49,0.726,0.802,0.294,4,0.25
0.518,0.868,0.85,0.278,4,0.25
0.518,0.796,0.71,0.286,4,0.25
0.504,0.834,0.876,0.262,4,0.25
0.512,0.784,0.806,0.27,4,0.25
0.55,0.742,0.868,0.272,4,0.25
0.54,0.85,0.812,0.28,4,0.25
0.528,0.792,0.852,0.266,4,0.25
0.548,0.884,0.834,0.256,4,0.25
0.53,0.816,0.852,0.272,4,0.25
0.508,0.428,0.796,0.254,4,0.25
0.532,0.86,0.874,0.294,4,0.25
0.536,0.87,0.794,0.284,4,0.25
0.534,0.824,0.76,0.258,4,0.25
0.518,0.85,0.832,0.262,4,0.25
0.528,0.792,0.788,0.294,4,0.25
0.492,0.836,0.788,0.278,4,0.25
0.55,0.836,0.816,0.268,4,0.25
0.502,0.878,0.848,0.274,4,0.25
0.536,0.804,0.88,0.264,4,0.25
0.522,0.75,0.872,0.26,4,0.25
0.544,0.872,0.83,0.256,4,0.25
0.538,0.794,0.804,0.262,4,0.25
0.532,0.612,0.872,0.266,4,0.25
0.506,0.772,0.774,0.26,4,0.25
0.526,0.714,0.832,0.264,4,0.25
0.534,0.848,0.64,0.27,4,0.25
0.528,0.824,0.852,0.264,4,0.25
0.516,0.85,0.812,0.31,4,0.25
0.528,0.864,0.842,0.256,4,0.25
0.55,0.746,0.822,0.268,4,0.25
0.542,0.84,0.864,0.304,4,0.25
0.502,0.854,0.794,0.266,4,0.25
0.542,0.85,0.81,0.29,4,0.25
0.518,0.826,0.862,0.26,4,0.25
0.538,0.74,0.834,0.266,4,0.25
0.516,0.858,0.752,0.282,4,0.25
0.542,0.862,0.754,0.264,4,0.25
0.49,0.882,0.828,0.288,4,0.25
0.508,0.786,0.788,0.28,4,0.25
0.518,0.668,0.85,0.266,4,0.25
0.554,0.884,0.826,0.292,4,0.25
