mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd
-0.06334,0.01901,-0.09086,-0.03127,0.00112,0.0008
-0.04783,0.01978,-0.08281,-0.01844,0.00173,0.00123
-0.05491,0.02075,-0.09029,-0.02395,0.00109,0.00077
-0.08014,0.02043,-0.11121,-0.04823,0.00115,0.00087
-0.02112,0.02088,-0.05554,0.00911,0.00171,0.00121
-0.03179,0.02028,-0.06763,-0.00273,0.00126,0.00093
-0.04115,0.02005,-0.07146,-0.00586,0.00152,0.00108
-0.03151,0.0207,-0.06347,0.00351,0.0014,0.001
-0.07481,0.01882,-0.10849,-0.04939,0.00141,0.001
0.02023,0.02032,-0.01174,0.05372,0.00136,0.00099
-0.03482,0.02052,-0.06613,-0.00104,0.0014,0.00101
0.01192,0.01987,-0.01815,0.04358,0.00119,0.00084
-0.03692,0.01817,-0.07069,-0.01231,0.00152,0.00112
-0.05758,0.01976,-0.08707,-0.02567,0.0014,0.00099
-0.02068,0.02184,-0.05543,0.01272,0.00148,0.00105
0.06369,0.01986,0.03009,0.09203,0.00133,0.00094
-0.05205,0.02002,-0.08285,-0.01983,0.00143,0.00101
-0.04189,0.02184,-0.07292,-0.00332,0.00142,0.00101
0.03523,0.02045,0.00216,0.06774,0.00121,0.00093
-0.1371,0.01987,-0.1667,-0.10314,0.00112,0.00079
-0.02779,0.01968,-0.05522,0.00687,0.00116,0.00085
-0.03627,0.02154,-0.06768,0.00059,0.00133,0.00104
-0.10728,0.02033,-0.14049,-0.07451,0.00177,0.00126
-0.06854,0.01941,-0.10059,-0.03909,0.00102,0.00072
0.04519,0.02146,0.01371,0.08139,0.00118,0.00084
0.02591,0.01996,-0.00427,0.05638,0.00156,0.0011
-0.03479,0.01995,-0.06521,-0.00337,0.00115,0.00081
0.02532,0.02064,-0.00469,0.05762,0.00144,0.00102
0.01997,0.01843,-0.00741,0.05277,0.00136,0.00105
-0.08385,0.02037,-0.11356,-0.04835,0.00131,0.00093
-0.01444,0.01905,-0.04629,0.01573,0.00121,0.00086
-0.00624,0.0201,-0.03627,0.02862,0.00114,0.00081
0.09212,0.02077,0.0611,0.12545,0.00187,0.00133
0.01316,0.01979,-0.0159,0.04559,0.001,0.00071
0.0554,0.01912,0.02473,0.0847,0.00106,0.00076
-0.05213,0.01996,-0.08224,-0.01984,0.00154,0.0012
-0.02434,0.01965,-0.05997,0.00414,0.00126,0.0009
-0.01439,0.01978,-0.04602,0.01515,0.00151,0.0011
0.08122,0.02161,0.04796,0.11763,0.00138,0.00098
-0.04218,0.02158,-0.07588,-0.00826,0.00153,0.00108
-0.043,0.02146,-0.07687,-0.00918,0.00167,0.00118
-0.06402,0.01818,-0.09374,-0.03462,0.00145,0.00103
0.12975,0.02025,0.09969,0.16127,0.00118,0.00085
-0.00762,0.0193,-0.03525,0.0256,0.00129,0.00091
0.01221,0.02095,-0.02272,0.04331,0.00136,0.00096
-0.04228,0.02086,-0.07578,-0.00991,0.0017,0.0012
0.0258,0.01914,-0.00221,0.05717,0.00118,0.00083
0.01086,0.01973,-0.0182,0.04242,0.00111,0.00084
-0.02882,0.01921,-0.05918,0.00183,0.00168,0.00121
-0.05486,0.01898,-0.08356,-0.02276,0.00109,0.00084
-0.02951,0.01875,-0.06121,-0.00101,0.00105,0.00075
-0.01922,0.0201,-0.05457,0.01109,0.00135,0.00095
-0.10194,0.0201,-0.13377,-0.07139,0.00138,0.00098
-0.06166,0.01819,-0.09242,-0.03471,0.00131,0.00092
0.07402,0.02077,0.03917,0.10774,0.00126,0.00089
0.02234,0.02069,-0.01229,0.05204,0.00131,0.00096
