mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd
0.26689,0.06614,0.15721,0.36889,0.00148,0.00112
0.34077,0.06411,0.23221,0.43751,0.00176,0.00125
0.17049,0.06478,0.07731,0.28521,0.00158,0.00127
0.19112,0.06694,0.09228,0.30309,0.00155,0.0011
0.14504,0.06747,0.02997,0.24681,0.002,0.00146
0.15198,0.0614,0.05223,0.25015,0.00179,0.00145
0.2103,0.06238,0.11929,0.31455,0.00169,0.00127
0.18933,0.06467,0.08414,0.28603,0.00198,0.00142
0.28552,0.06267,0.17842,0.3763,0.00165,0.00117
0.33168,0.06586,0.21817,0.42472,0.00232,0.00164
0.2434,0.06752,0.14205,0.35884,0.00209,0.00152
0.20469,0.0632,0.10286,0.30193,0.00203,0.00143
0.21166,0.0655,0.10477,0.31263,0.00154,0.00126
0.18803,0.06228,0.09039,0.28174,0.002,0.00142
0.27274,0.06835,0.15334,0.36918,0.0016,0.00117
0.13078,0.0677,0.02741,0.242,0.00227,0.00168
0.2965,0.06564,0.18328,0.39363,0.00185,0.00135
0.27427,0.06347,0.17131,0.37448,0.00152,0.00111
0.19954,0.06327,0.10194,0.30409,0.00164,0.00123
0.1633,0.06623,0.05285,0.26253,0.00242,0.00171
0.30637,0.06398,0.19684,0.39642,0.00164,0.00129
0.30504,0.06615,0.18926,0.39257,0.00214,0.00152
0.25316,0.06358,0.15039,0.35137,0.00232,0.00164
0.25381,0.06878,0.14856,0.36689,0.00219,0.00155
0.23528,0.06777,0.13015,0.34613,0.00175,0.00126
0.18352,0.06729,0.08209,0.29388,0.00242,0.00171
0.18915,0.06663,0.08968,0.29962,0.00157,0.00119
0.25258,0.06592,0.14114,0.34924,0.00268,0.0019
0.15062,0.06325,0.05147,0.24812,0.00198,0.00143
0.24479,0.06523,0.14165,0.34805,0.00232,0.00164
0.19214,0.06858,0.08235,0.29537,0.00192,0.00141
0.18423,0.06565,0.08764,0.29428,0.00174,0.00131
0.01031,0.06414,-0.09876,0.0973,0.00222,0.00189
0.31899,0.06461,0.21052,0.4173,0.00203,0.00147
0.36012,0.06717,0.24787,0.45952,0.00213,0.00153
0.12052,0.06613,0.01762,0.22523,0.00173,0.00137
0.13534,0.07014,0.02082,0.24275,0.00176,0.00144
0.01758,0.06848,-0.11244,0.10733,0.00272,0.00198
0.25613,0.06529,0.16022,0.36644,0.002,0.00144
0.25081,0.0634,0.15391,0.35725,0.00232,0.00172
0.19167,0.06565,0.09769,0.30279,0.00223,0.00158
0.34335,0.0673,0.24627,0.46267,0.00197,0.00142
0.28468,0.06549,0.18497,0.38934,0.00194,0.00139
0.32794,0.06969,0.21671,0.43647,0.00171,0.00124
0.24422,0.0669,0.13316,0.34239,0.0024,0.0017
0.15225,0.06584,0.0585,0.26904,0.00166,0.00127
0.34731,0.06304,0.25382,0.45013,0.00203,0.00143
0.11664,0.06545,0.00355,0.2109,0.00171,0.00138
0.24146,0.06424,0.13963,0.35031,0.00177,0.00125
0.2625,0.06634,0.1563,0.3667,0.00237,0.0017
0.2668,0.06291,0.16904,0.3643,0.00186,0.00136
0.23757,0.0647,0.13312,0.33613,0.00237,0.00168
0.1946,0.06615,0.10329,0.3112,0.0014,0.00117
0.21327,0.06291,0.11265,0.31566,0.00229,0.00164
0.37122,0.06882,0.26049,0.47794,0.002,0.00144
0.24362,0.06517,0.1528,0.35833,0.00193,0.00145
0.22799,0.0602,0.13018,0.32449,0.0015,0.00115
0.24111,0.06367,0.14125,0.34063,0.00183,0.0013
0.17977,0.06922,0.07467,0.30005,0.00163,0.00135
0.20218,0.0611,0.09635,0.28939,0.00206,0.00149
0.25808,0.06576,0.14665,0.35317,0.00172,0.00125
0.31718,0.06617,0.21014,0.41663,0.00159,0.00116
0.20478,0.0663,0.09807,0.30847,0.0019,0.00143
0.23029,0.06166,0.13525,0.32828,0.00192,0.00136
-0.00419,0.0666,-0.11383,0.0987,0.00249,0.00179
0.37439,0.06651,0.27392,0.48207,0.00191,0.00137
0.17938,0.06738,0.07664,0.2881,0.00162,0.0012
0.23157,0.06762,0.13439,0.35134,0.00227,0.00172
0.25008,0.0652,0.14551,0.3509,0.00191,0.00136
0.25249,0.06692,0.13561,0.35161,0.00187,0.00133
0.31181,0.06205,0.2046,0.40438,0.00182,0.00132
0.29316,0.06591,0.1889,0.398,0.00204,0.00147
0.14332,0.06799,0.03523,0.24865,0.00173,0.00135
0.29802,0.06489,0.18887,0.39418,0.00221,0.00159
0.26962,0.06763,0.16184,0.3764,0.00193,0.00136
0.10424,0.06,0.01439,0.20315,0.00156,0.00127
0.18111,0.0642,0.07665,0.28191,0.00181,0.00132
0.24704,0.06572,0.14609,0.35539,0.00165,0.00126
0.28075,0.06676,0.18296,0.39314,0.0019,0.00136
0.0958,0.06266,-0.01,0.18739,0.00179,0.00136
0.13473,0.06292,0.04037,0.23646,0.00187,0.00138
0.09446,0.06267,-0.01231,0.18855,0.00161,0.00136
0.32412,0.06758,0.21775,0.43359,0.00229,0.00162
0.10924,0.06793,0.0088,0.2169,0.00145,0.0014
0.14367,0.06374,0.0388,0.24439,0.00205,0.00149
