mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd
0.02801,0.06045,-0.05522,0.13078,0.00168,0.00189
-0.13197,0.06344,-0.23889,-0.04102,0.00209,0.00155
0.04767,0.06521,-0.05729,0.14923,0.00237,0.00168
0.09695,0.06498,0.01033,0.22022,0.00152,0.00143
-0.02146,0.06378,-0.14069,0.06788,0.00189,0.00189
-0.0173,0.06747,-0.13796,0.07923,0.00256,0.00214
-0.0222,0.06586,-0.12735,0.08001,0.00223,0.00175
0.04938,0.0657,-0.04723,0.1576,0.00195,0.0017
0.03246,0.06433,-0.0577,0.14557,0.00172,0.0018
0.0178,0.06742,-0.07775,0.1431,0.00193,0.00207
-0.01317,0.06593,-0.12795,0.08263,0.00182,0.00206
-0.06396,0.06833,-0.16881,0.0501,0.00221,0.00174
0.06381,0.06403,-0.04156,0.16025,0.00196,0.00161
0.00023,0.06397,-0.10169,0.09956,0.00204,0.00183
0.0581,0.06762,-0.04999,0.15998,0.00176,0.00209
0.03482,0.06526,-0.06054,0.14257,0.00163,0.00177
0.0182,0.06221,-0.07396,0.12428,0.00192,0.00182
-0.00079,0.06297,-0.10297,0.09796,0.00164,0.00224
0.0761,0.05928,-0.00938,0.17655,0.00141,0.00143
0.00855,0.06462,-0.08908,0.11223,0.00184,0.0021
-0.05186,0.06178,-0.15049,0.04787,0.00212,0.00152
0.01406,0.06765,-0.09759,0.11387,0.00199,0.00207
0.00714,0.06832,-0.10238,0.10997,0.00183,0.00221
-0.06853,0.06626,-0.17669,0.03226,0.00204,0.00161
-0.11368,0.05957,-0.20459,-0.01949,0.00177,0.00133
0.00184,0.06214,-0.09973,0.09911,0.00162,0.00211
-0.01858,0.06547,-0.12596,0.08343,0.00227,0.00183
-0.01569,0.06273,-0.11363,0.08319,0.0018,0.00189
-0.08273,0.06451,-0.18246,0.01738,0.00178,0.00153
-0.03062,0.06273,-0.12668,0.07035,0.00216,0.00173
-0.08345,0.06297,-0.17923,0.02108,0.00198,0.00151
0.08264,0.06644,-0.01802,0.19166,0.00195,0.00156
0.04741,0.06419,-0.05545,0.14454,0.00143,0.0018
-0.0066,0.06371,-0.1,0.10049,0.00155,0.00207
-0.02089,0.06616,-0.14158,0.07177,0.00279,0.00198
-0.0105,0.06601,-0.11505,0.08934,0.00189,0.00211
-0.07237,0.06891,-0.18686,0.03037,0.0024,0.0018
0.01617,0.06254,-0.09046,0.1104,0.0018,0.00197
-0.12997,0.06466,-0.23163,-0.0292,0.0018,0.00139
-0.0882,0.0633,-0.18498,0.00918,0.00155,0.00143
-0.02623,0.06323,-0.13561,0.06541,0.00175,0.00159
0.17759,0.06366,0.07198,0.27614,0.00181,0.00135
-0.06939,0.06546,-0.16849,0.03865,0.00182,0.00165
0.05962,0.06278,-0.05564,0.14705,0.00161,0.00142
0.0972,0.0641,-0.00604,0.191,0.00161,0.0013
0.00641,0.06785,-0.09159,0.12132,0.00166,0.00273
0.0988,0.06723,-0.00473,0.21195,0.00197,0.0014
0.13867,0.06633,0.02726,0.23537,0.00207,0.00153
0.03004,0.0603,-0.06388,0.12758,0.00132,0.00186
0.05393,0.06817,-0.05337,0.16284,0.00194,0.00158
0.06028,0.06441,-0.04814,0.15266,0.00191,0.00159
-0.0737,0.06471,-0.1653,0.03588,0.00164,0.00156
-0.072,0.0667,-0.18606,0.02961,0.00188,0.00158
-0.00327,0.06343,-0.09701,0.10384,0.00141,0.00218
-0.01819,0.06122,-0.11421,0.07983,0.00143,0.00207
0.04707,0.06536,-0.05481,0.15162,0.00201,0.00169
-0.08457,0.06679,-0.19461,0.0217,0.00177,0.00174
0.05775,0.06458,-0.0452,0.15457,0.00173,0.00176
0.0364,0.06279,-0.07372,0.12168,0.002,0.00181
0.0466,0.05964,-0.05017,0.13395,0.00113,0.00214
0.05623,0.06533,-0.05682,0.15474,0.00205,0.00184
-0.00277,0.067,-0.11065,0.09584,0.0022,0.00215
0.08755,0.06548,-0.01417,0.19536,0.00172,0.00156
-0.10976,0.06305,-0.20574,-0.00256,0.00151,0.00141
0.05447,0.06654,-0.05456,0.15805,0.0019,0.00164
-0.0237,0.06371,-0.14462,0.06061,0.0023,0.00163
-0.08335,0.07063,-0.19563,0.02918,0.00172,0.00161
-0.12363,0.06451,-0.21976,-0.0162,0.00153,0.00126
0.00663,0.06974,-0.09259,0.13074,0.00184,0.00224
-0.02209,0.064,-0.13361,0.06995,0.00208,0.00182
-0.05822,0.06525,-0.1679,0.04183,0.00145,0.00162
-0.00048,0.06137,-0.09796,0.09577,0.00153,0.0021
0.02428,0.06279,-0.08314,0.11636,0.00166,0.00182
0.08335,0.06537,-0.01746,0.19025,0.00221,0.00167
0.06359,0.06753,-0.04008,0.17149,0.00197,0.00158
0.09659,0.06792,-0.01347,0.20053,0.00225,0.00178
-0.08972,0.06824,-0.20007,0.01246,0.00217,0.0016
0.01859,0.06212,-0.08083,0.10824,0.00161,0.00175
0.00791,0.06266,-0.09218,0.10795,0.00177,0.00214
-0.01393,0.06347,-0.11711,0.08432,0.0017,0.0021
0.10685,0.06482,0.0062,0.20959,0.00183,0.00142
0.04511,0.0617,-0.05626,0.13743,0.00165,0.00153
0.02609,0.06487,-0.06494,0.14267,0.00225,0.00179
0.043,0.06192,-0.05125,0.1367,0.00167,0.00169
0.0201,0.0642,-0.06962,0.13369,0.00131,0.00225
0.07966,0.06306,-0.02976,0.17198,0.00215,0.00157
0.06521,0.06743,-0.03751,0.17227,0.00201,0.00173
0.17583,0.06527,0.0757,0.28408,0.00215,0.00159
-0.00785,0.06556,-0.11795,0.09193,0.00203,0.00198
0.01838,0.06672,-0.08175,0.12525,0.00237,0.00199
0.04318,0.06392,-0.04817,0.15155,0.00187,0.00194
0.03047,0.06367,-0.06996,0.12874,0.0019,0.00163
-0.03958,0.06158,-0.13768,0.05427,0.00178,0.00162
0.02817,0.06207,-0.0782,0.12133,0.00174,0.00161
0.027,0.06105,-0.06952,0.12487,0.00176,0.0019
-0.04835,0.06869,-0.16255,0.0508,0.00193,0.00197
-0.08385,0.06614,-0.18701,0.01865,0.002,0.00151
0.06931,0.06252,-0.02388,0.1736,0.00182,0.00155
0.04973,0.0623,-0.04831,0.15389,0.0018,0.00157
-0.03048,0.06677,-0.1271,0.08765,0.00174,0.00216
0.16161,0.06351,0.0583,0.25449,0.00202,0.00146
0.08864,0.06656,-0.00885,0.19719,0.00201,0.00162
0.08461,0.06891,-0.01048,0.20821,0.00182,0.00153
0.01579,0.06655,-0.09265,0.11484,0.00174,0.00229
-0.0085,0.06653,-0.12277,0.08853,0.00167,0.00257
0.03957,0.06586,-0.06744,0.14218,0.00202,0.00186
0.11855,0.06626,0.01352,0.22497,0.00198,0.00143
0.06893,0.06685,-0.03917,0.17419,0.00161,0.00157
-0.03074,0.0661,-0.14023,0.07363,0.00229,0.00167
0.03122,0.06473,-0.07483,0.13015,0.00212,0.00191
0.01082,0.06622,-0.088,0.11428,0.00199,0.00201
-0.03853,0.06502,-0.13609,0.06542,0.0023,0.00168
