mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd
-0.00801,0.06278,-0.10478,0.09123,0.00279,0.00197
-0.03405,0.0629,-0.14064,0.06007,0.00241,0.00189
-0.03077,0.06649,-0.13664,0.07429,0.00345,0.00276
-0.03585,0.06696,-0.1519,0.06482,0.00211,0.00194
-0.29232,0.06422,-0.38312,-0.18154,0.00245,0.00175
-0.01849,0.06354,-0.11225,0.08209,0.00256,0.00222
-0.04284,0.06387,-0.15106,0.05,0.00227,0.00192
-0.09855,0.06936,-0.20766,0.01611,0.0029,0.00212
0.07486,0.06435,-0.02118,0.18062,0.00267,0.00191
-0.20792,0.06306,-0.31494,-0.10704,0.00214,0.00152
0.05785,0.06281,-0.04,0.15563,0.00332,0.00235
-0.16727,0.06731,-0.26576,-0.05511,0.00265,0.00193
-0.19385,0.06095,-0.30421,-0.10764,0.00263,0.00213
-0.09706,0.06417,-0.19004,0.0131,0.00281,0.00201
-0.19135,0.06848,-0.29322,-0.07351,0.00282,0.00202
0.01317,0.06341,-0.08631,0.11106,0.00327,0.00232
-0.25479,0.06796,-0.35433,-0.14402,0.00269,0.0019
0.18093,0.06312,0.0804,0.28191,0.00199,0.00143
0.2093,0.06193,0.09386,0.29366,0.00237,0.00168
-0.08504,0.06131,-0.18081,0.01211,0.00239,0.00184
0.1173,0.06421,0.02861,0.23531,0.00252,0.00182
0.0259,0.06689,-0.0758,0.13477,0.00246,0.00221
-0.1135,0.0633,-0.20382,-0.00234,0.00271,0.00192
-0.21513,0.06169,-0.31915,-0.12427,0.00209,0.00148
-0.04057,0.06736,-0.1389,0.06838,0.00357,0.00266
0.00004,0.06372,-0.10765,0.09803,0.00227,0.00212
0.053,0.06047,-0.05025,0.14303,0.00311,0.00226
-0.03981,0.06137,-0.14067,0.05584,0.00199,0.00168
0.00689,0.06818,-0.09283,0.12094,0.00243,0.00201
0.11845,0.06379,0.01974,0.21828,0.00263,0.00192
-0.08645,0.0636,-0.18184,0.02001,0.00249,0.00207
0.05289,0.06388,-0.04761,0.15563,0.00257,0.00203
0.16566,0.06082,0.07921,0.27018,0.00214,0.00154
0.16201,0.0634,0.06682,0.26875,0.0024,0.0017
0.11505,0.06455,0.01687,0.21928,0.00279,0.00202
-0.04801,0.06351,-0.15591,0.04316,0.00226,0.00182
0.04123,0.06078,-0.04647,0.14322,0.00196,0.00152
0.06006,0.06217,-0.03591,0.158,0.00284,0.00201
0.04515,0.06262,-0.05729,0.14307,0.00276,0.00195
