mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd
0.14539,0.06361,0.04271,0.24451,0.00237,0.00174
-0.09197,0.06946,-0.20743,0.01389,0.00302,0.00221
0.01319,0.06726,-0.09685,0.11311,0.00207,0.00273
-0.01832,0.06488,-0.11823,0.0931,0.00195,0.00199
-0.07944,0.06283,-0.16981,0.028,0.00203,0.00158
0.01926,0.06148,-0.08012,0.10814,0.00234,0.00181
-0.1155,0.06563,-0.21954,-0.01311,0.00239,0.00197
-0.01303,0.06171,-0.10702,0.08805,0.00199,0.00191
-0.02017,0.06258,-0.12247,0.07717,0.0023,0.00204
0.14779,0.07192,0.02699,0.2475,0.00256,0.00191
-0.01126,0.06287,-0.09884,0.09756,0.00196,0.00194
-0.00874,0.06244,-0.10218,0.09364,0.00294,0.00208
0.22997,0.06406,0.12809,0.33334,0.00209,0.00148
0.16872,0.06419,0.06533,0.26876,0.00269,0.00192
0.03459,0.06691,-0.0645,0.1489,0.00266,0.0024
-0.0119,0.0627,-0.10034,0.09308,0.00279,0.00197
0.0599,0.06419,-0.03804,0.16818,0.00275,0.00196
-0.16312,0.06389,-0.26276,-0.05768,0.00214,0.0016
0.07724,0.06579,-0.02338,0.18435,0.00252,0.00179
0.01932,0.06167,-0.0645,0.12524,0.00244,0.0019
0.1281,0.06194,0.02315,0.21597,0.0026,0.00189
0.0208,0.06312,-0.07732,0.12366,0.00226,0.00184
0.16799,0.06221,0.07523,0.272,0.0021,0.00152
0.10227,0.06358,0.00715,0.20936,0.00183,0.00142
0.18512,0.06182,0.07722,0.27618,0.00244,0.00174
-0.07894,0.0635,-0.17213,0.03279,0.00323,0.00229
0.0631,0.06423,-0.03695,0.16704,0.0026,0.00184
0.24916,0.06294,0.14704,0.34448,0.00224,0.00159
0.047,0.06041,-0.05353,0.14104,0.0015,0.00159
0.03294,0.06204,-0.07438,0.11862,0.00206,0.00217
0.07242,0.06294,-0.02792,0.17241,0.00302,0.00213
-0.02893,0.05937,-0.11345,0.06699,0.00264,0.00187
