mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd
0.033,0.031,-0.014,0.084,0.002,0.001
-0.061,0.032,-0.113,-0.012,0.002,0.001
0.021,0.033,-0.032,0.069,0.002,0.001
0.003,0.032,-0.048,0.056,0.001,0.001
-0.0,0.034,-0.052,0.053,0.002,0.002
0.033,0.031,-0.014,0.084,0.002,0.001
0.055,0.033,0.007,0.111,0.002,0.001
-0.073,0.034,-0.129,-0.021,0.002,0.001
0.062,0.033,0.011,0.114,0.002,0.002
0.031,0.032,-0.025,0.075,0.001,0.001
0.03,0.032,-0.02,0.084,0.002,0.001
-0.031,0.031,-0.078,0.019,0.002,0.001
-0.02,0.031,-0.073,0.025,0.002,0.002
0.049,0.034,-0.005,0.105,0.001,0.001
0.038,0.035,-0.021,0.089,0.002,0.001
-0.054,0.032,-0.102,-0.002,0.002,0.001
-0.072,0.032,-0.124,-0.021,0.002,0.001
-0.02,0.031,-0.073,0.025,0.002,0.002
-0.009,0.033,-0.062,0.04,0.002,0.001
0.042,0.033,-0.011,0.091,0.002,0.001
0.048,0.031,-0.004,0.095,0.002,0.001
-0.007,0.032,-0.059,0.043,0.002,0.001
-0.054,0.032,-0.102,-0.002,0.002,0.001
-0.039,0.032,-0.09,0.013,0.001,0.001
-0.044,0.033,-0.101,0.006,0.001,0.001
0.047,0.033,-0.005,0.1,0.002,0.001
0.021,0.033,-0.032,0.069,0.002,0.001
-0.02,0.031,-0.073,0.025,0.002,0.002
0.034,0.032,-0.012,0.093,0.002,0.002
-0.072,0.032,-0.126,-0.023,0.002,0.002
0.003,0.032,-0.048,0.056,0.001,0.001
0.038,0.035,-0.021,0.089,0.002,0.001
0.055,0.033,0.007,0.111,0.002,0.001
-0.089,0.031,-0.138,-0.039,0.002,0.001
0.062,0.033,0.011,0.114,0.002,0.002
0.075,0.031,0.025,0.125,0.002,0.001
0.132,0.033,0.082,0.183,0.002,0.001
-0.061,0.032,-0.113,-0.012,0.002,0.001
-0.054,0.032,-0.102,-0.002,0.002,0.001
0.003,0.032,-0.048,0.056,0.001,0.001
-0.089,0.031,-0.138,-0.039,0.002,0.001
0.062,0.033,0.011,0.114,0.002,0.002
0.0,0.032,-0.055,0.048,0.002,0.001
0.021,0.033,-0.032,0.069,0.002,0.001
-0.026,0.032,-0.08,0.021,0.001,0.001
-0.007,0.032,-0.059,0.043,0.002,0.001
0.132,0.033,0.082,0.183,0.002,0.001
0.015,0.032,-0.042,0.062,0.001,0.001
0.031,0.032,-0.025,0.075,0.001,0.001
0.036,0.034,-0.018,0.088,0.002,0.001
0.047,0.033,-0.005,0.1,0.002,0.001
0.034,0.032,-0.012,0.093,0.002,0.002
0.036,0.034,-0.015,0.095,0.002,0.001
0.043,0.033,-0.009,0.092,0.002,0.001
-0.072,0.032,-0.126,-0.023,0.002,0.002
-0.0,0.034,-0.052,0.053,0.002,0.002
0.021,0.033,-0.032,0.069,0.002,0.001
0.036,0.034,-0.015,0.095,0.002,0.001
0.075,0.031,0.025,0.125,0.002,0.001
-0.0,0.034,-0.052,0.053,0.002,0.002
0.03,0.032,-0.02,0.084,0.002,0.001
-0.072,0.032,-0.124,-0.021,0.002,0.001
0.043,0.033,-0.009,0.092,0.002,0.001
0.047,0.032,-0.002,0.096,0.002,0.001
0.015,0.032,-0.042,0.062,0.001,0.001
0.062,0.032,0.009,0.113,0.002,0.001
-0.073,0.034,-0.129,-0.021,0.002,0.001
0.048,0.031,-0.004,0.095,0.002,0.001
-0.0,0.034,-0.052,0.053,0.002,0.002
-0.05,0.032,-0.099,0.004,0.001,0.001
-0.0,0.034,-0.052,0.053,0.002,0.002
-0.031,0.031,-0.078,0.019,0.002,0.001
